"experience_id","position_id","name","description","hyperlink","start_date","end_date"
"1","1","Game Development","Design a simple game by using C++","https://www.linkedin.com/in/junchi-zhu-65b4b5190/",2021-09-01,2021-12-10
"2","2",Design self made movie application,Design Movie Characters and a Movie Maker by using C++,"https://www.linkedin.com/in/junchi-zhu-65b4b5190/",2021-09-01,2021-12-10
"3","3",Design Android Mobile Phone Game,Design a simple Phone game by using Java,"https://www.linkedin.com/in/junchi-zhu-65b4b5190/",2021-09-01,2021-12-10
"4","4","Design website using css and html",Using website design Language to design own resume website,"https://www.linkedin.com/in/junchi-zhu-65b4b5190/",2022-01-10,NULL
